book_num,book_title,karna_count,char_mention,char_type,mentions,sections,,,
1,ADI PARVA,150,Duryodhana,kaurava,11,10,,,
1,ADI PARVA,150,Arjuna,pandava,7,3,,,
1,ADI PARVA,150,Sakuni,kaurava,5,5,,,
2,SABHA PARVA,37,Duryodhana,kaurava,5,4,,,
2,SABHA PARVA,37,Sakuni,kaurava,3,3,,,
2,SABHA PARVA,37,Dussasana,kaurava,3,3,,,
3,VANA PARVA,188,Duryodhana,kaurava,16,14,,,
3,VANA PARVA,188,Dussasana,kaurava,9,7,,,
3,VANA PARVA,188,Drona,kaurava_ally,7,6,,,
4,VIRATA PARVA,63,Kripa,kaurava_ally,7,6,,,
4,VIRATA PARVA,63,Drona,kaurava_ally,5,5,,,
4,VIRATA PARVA,63,Duryodhana,kaurava,5,5,,,
5,UDYOGA PARVA,172,Drona,kaurava_ally,16,11,,,
5,UDYOGA PARVA,172,Dussasana,kaurava,15,15,,,
5,UDYOGA PARVA,172,Duryodhana,kaurava,14,12,,,
6,BHISHMA PARVA,51,Suta,other,3,3,,,
6,BHISHMA PARVA,51,Bhishma,kaurava_ally,3,3,,,
6,BHISHMA PARVA,51,Duryodhana,kaurava,3,3,,,
7,DRONA PARVA,971,Bhima,pandava,51,16,,,
7,DRONA PARVA,971,Drona,kaurava_ally,44,27,,,
7,DRONA PARVA,971,Duryodhana,kaurava,27,22,,,
8,KARNA-PARVA,1256,Arjuna,pandava,42,17,,,
8,KARNA-PARVA,1256,Partha,pandava,33,17,,,
8,KARNA-PARVA,1256,Shalya,kaurava_ally,23,16,,,
9,SHALYA-PARVA,68,Drona,kaurava_ally,10,7,,,
9,SHALYA-PARVA,68,Bhishma,kaurava_ally,5,3,,,
9,SHALYA-PARVA,68,Shalya,kaurava_ally,3,3,,,
10,SAUPTIKA-PARVA,5,Bhishma,kaurava_ally,1,1,,,
10,SAUPTIKA-PARVA,5,Ganga,other,1,1,,,
10,SAUPTIKA-PARVA,5,Dhrishtadyumna,pandava_ally,1,1,,,
11,STRI-PARVA,28,Bhishma,kaurava_ally,3,2,,,
11,STRI-PARVA,28,Drona,kaurava_ally,3,2,,,
12,SANTI PARVA,82,Arjuna,pandava,3,2,,,
12,SANTI PARVA,82,Drona,kaurava_ally,3,2,,,
13,ANUSASANA PARVA,22,Duryodhana,kaurava,1,1,,,
14,ASWAMEDHA PARVA,19,Drona,kaurava_ally,4,2,,,
14,ASWAMEDHA PARVA,19,Kripa,kaurava_ally,2,2,,,
14,ASWAMEDHA PARVA,19,Bhishma,kaurava_ally,2,2,,,
15,ASRAMAVASIKA PARVA,17,Suvala,other,2,2,,,
15,ASRAMAVASIKA PARVA,17,Duryodhana,kaurava,2,2,,,
18,SVARGAROHANIKA-PARVA,12,Bhima,pandava,1,1,,,
18,SVARGAROHANIKA-PARVA,12,Kurus,kaurava,1,1,,,
