book_no,book_title,plot_index,words
1,ADI PARVA,2685,karna
1,ADI PARVA,3262,arjuna
1,ADI PARVA,3726,arjuna
1,ADI PARVA,3762,arjuna
1,ADI PARVA,3878,arjuna
1,ADI PARVA,4462,arjuna
1,ADI PARVA,4528,arjuna
1,ADI PARVA,4579,arjuna
1,ADI PARVA,4668,arjuna
1,ADI PARVA,5033,arjuna
1,ADI PARVA,5085,arjuna
1,ADI PARVA,5119,arjuna
1,ADI PARVA,5161,arjuna
1,ADI PARVA,5250,karna
1,ADI PARVA,5271,arjuna
1,ADI PARVA,5376,arjuna
1,ADI PARVA,5459,arjuna
1,ADI PARVA,5462,arjuna
1,ADI PARVA,5533,arjuna
1,ADI PARVA,5765,arjuna
1,ADI PARVA,5800,arjuna
1,ADI PARVA,5931,arjuna
1,ADI PARVA,6027,arjuna
1,ADI PARVA,6152,arjuna
1,ADI PARVA,6157,arjuna
1,ADI PARVA,6229,arjuna
1,ADI PARVA,6274,arjuna
1,ADI PARVA,6301,arjuna
1,ADI PARVA,6339,arjuna
1,ADI PARVA,6386,arjuna
1,ADI PARVA,6444,arjuna
1,ADI PARVA,6463,karna
1,ADI PARVA,6516,karna
1,ADI PARVA,6562,karna
1,ADI PARVA,6600,karna
1,ADI PARVA,6611,karna
1,ADI PARVA,6621,arjuna
1,ADI PARVA,6806,karna
1,ADI PARVA,6815,arjuna
1,ADI PARVA,7196,arjuna
1,ADI PARVA,10249,arjuna
1,ADI PARVA,10285,arjuna
1,ADI PARVA,10291,arjuna
1,ADI PARVA,10404,arjuna
1,ADI PARVA,10411,arjuna
1,ADI PARVA,10425,arjuna
1,ADI PARVA,10844,karna
1,ADI PARVA,10986,arjuna
1,ADI PARVA,11042,karna
1,ADI PARVA,11505,arjuna
1,ADI PARVA,12047,arjuna
1,ADI PARVA,12110,arjuna
1,ADI PARVA,12144,arjuna
1,ADI PARVA,12319,arjuna
1,ADI PARVA,12358,arjuna
1,ADI PARVA,12394,arjuna
1,ADI PARVA,12418,arjuna
1,ADI PARVA,12432,arjuna
1,ADI PARVA,12505,arjuna
1,ADI PARVA,12539,arjuna
1,ADI PARVA,13002,karna
1,ADI PARVA,13195,arjuna
1,ADI PARVA,13337,arjuna
1,ADI PARVA,13359,arjuna
1,ADI PARVA,13402,karna
1,ADI PARVA,13906,arjuna
1,ADI PARVA,13921,arjuna
1,ADI PARVA,13948,arjuna
1,ADI PARVA,13960,arjuna
1,ADI PARVA,14150,arjuna
1,ADI PARVA,14259,karna
1,ADI PARVA,14274,karna
