book_no,book_title,plot_normalise,words
1,ADI PARVA,0.97,karna
1,ADI PARVA,1.18,arjuna
1,ADI PARVA,1.35,arjuna
1,ADI PARVA,1.36,arjuna
1,ADI PARVA,1.41,arjuna
1,ADI PARVA,1.62,arjuna
1,ADI PARVA,1.64,arjuna
1,ADI PARVA,1.66,arjuna
1,ADI PARVA,1.69,arjuna
1,ADI PARVA,1.82,arjuna
1,ADI PARVA,1.84,arjuna
1,ADI PARVA,1.86,arjuna
1,ADI PARVA,1.87,arjuna
1,ADI PARVA,1.90,karna
1,ADI PARVA,1.91,arjuna
1,ADI PARVA,1.95,arjuna
1,ADI PARVA,1.98,arjuna
1,ADI PARVA,1.98,arjuna
1,ADI PARVA,2.01,arjuna
1,ADI PARVA,2.09,arjuna
1,ADI PARVA,2.10,arjuna
1,ADI PARVA,2.15,arjuna
1,ADI PARVA,2.19,arjuna
1,ADI PARVA,2.23,arjuna
1,ADI PARVA,2.23,arjuna
1,ADI PARVA,2.26,arjuna
1,ADI PARVA,2.27,arjuna
1,ADI PARVA,2.28,arjuna
1,ADI PARVA,2.30,arjuna
1,ADI PARVA,2.32,arjuna
1,ADI PARVA,2.34,arjuna
1,ADI PARVA,2.34,karna
1,ADI PARVA,2.36,karna
1,ADI PARVA,2.38,karna
1,ADI PARVA,2.39,karna
1,ADI PARVA,2.40,karna
1,ADI PARVA,2.40,arjuna
1,ADI PARVA,2.47,karna
1,ADI PARVA,2.47,arjuna
1,ADI PARVA,2.61,arjuna
1,ADI PARVA,3.72,arjuna
1,ADI PARVA,3.73,arjuna
1,ADI PARVA,3.73,arjuna
1,ADI PARVA,3.77,arjuna
1,ADI PARVA,3.77,arjuna
1,ADI PARVA,3.78,arjuna
1,ADI PARVA,3.93,karna
1,ADI PARVA,3.98,arjuna
1,ADI PARVA,4.00,karna
1,ADI PARVA,4.17,arjuna
1,ADI PARVA,4.37,arjuna
1,ADI PARVA,4.39,arjuna
1,ADI PARVA,4.40,arjuna
1,ADI PARVA,4.47,arjuna
1,ADI PARVA,4.48,arjuna
1,ADI PARVA,4.49,arjuna
1,ADI PARVA,4.50,arjuna
1,ADI PARVA,4.51,arjuna
1,ADI PARVA,4.53,arjuna
1,ADI PARVA,4.55,arjuna
1,ADI PARVA,4.71,karna
1,ADI PARVA,4.78,arjuna
1,ADI PARVA,4.84,arjuna
1,ADI PARVA,4.84,arjuna
1,ADI PARVA,4.86,karna
1,ADI PARVA,5.04,arjuna
1,ADI PARVA,5.05,arjuna
1,ADI PARVA,5.06,arjuna
1,ADI PARVA,5.06,arjuna
1,ADI PARVA,5.13,arjuna
1,ADI PARVA,5.17,karna
1,ADI PARVA,5.17,karna
1,ADI PARVA,5.28,arjuna
1,ADI PARVA,5.28,arjuna
1,ADI PARVA,5.32,arjuna
1,ADI PARVA,5.35,arjuna
1,ADI PARVA,5.43,arjuna
1,ADI PARVA,5.48,karna
1,ADI PARVA,5.48,karna
1,ADI PARVA,5.49,karna
1,ADI PARVA,5.58,arjuna
1,ADI PARVA,5.61,arjuna
1,ADI PARVA,5.62,arjuna
1,ADI PARVA,5.67,arjuna
1,ADI PARVA,5.68,arjuna
1,ADI PARVA,5.69,arjuna
1,ADI PARVA,5.71,arjuna
1,ADI PARVA,5.75,arjuna
1,ADI PARVA,5.78,karna
1,ADI PARVA,5.79,karna
1,ADI PARVA,5.80,karna
1,ADI PARVA,5.82,karna
1,ADI PARVA,5.83,arjuna
1,ADI PARVA,5.83,arjuna
1,ADI PARVA,5.84,arjuna
1,ADI PARVA,5.84,karna
1,ADI PARVA,6.11,arjuna
1,ADI PARVA,6.24,karna
1,ADI PARVA,6.40,arjuna
1,ADI PARVA,6.41,arjuna
1,ADI PARVA,6.42,arjuna
1,ADI PARVA,6.57,arjuna
1,ADI PARVA,6.63,arjuna
1,ADI PARVA,6.67,arjuna
1,ADI PARVA,25.79,karna
1,ADI PARVA,25.89,karna
1,ADI PARVA,26.12,arjuna
1,ADI PARVA,26.14,arjuna
1,ADI PARVA,26.15,arjuna
1,ADI PARVA,26.17,arjuna
1,ADI PARVA,26.17,arjuna
1,ADI PARVA,26.18,arjuna
1,ADI PARVA,26.19,arjuna
1,ADI PARVA,26.21,arjuna
1,ADI PARVA,26.24,arjuna
1,ADI PARVA,26.39,arjuna
1,ADI PARVA,28.24,arjuna
1,ADI PARVA,28.26,arjuna
1,ADI PARVA,31.25,karna
1,ADI PARVA,31.39,arjuna
1,ADI PARVA,31.42,arjuna
1,ADI PARVA,31.46,arjuna
1,ADI PARVA,31.77,arjuna
1,ADI PARVA,31.83,karna
1,ADI PARVA,44.91,arjuna
1,ADI PARVA,45.05,arjuna
1,ADI PARVA,45.08,arjuna
1,ADI PARVA,49.16,arjuna
1,ADI PARVA,51.85,karna
1,ADI PARVA,51.86,karna
1,ADI PARVA,51.95,arjuna
1,ADI PARVA,51.96,karna
1,ADI PARVA,51.98,karna
1,ADI PARVA,52.01,karna
1,ADI PARVA,53.24,karna
1,ADI PARVA,53.51,karna
1,ADI PARVA,53.53,karna
1,ADI PARVA,56.56,arjuna
1,ADI PARVA,56.75,arjuna
1,ADI PARVA,57.21,arjuna
1,ADI PARVA,58.63,arjuna
1,ADI PARVA,59.36,karna
